timestamp,valid_for_time,price,regime,regime_state,strategy_used,signal,volatility,noise_level,trend_deviation
2018.06.29 23:00,2018.06.30 00:00,110.756,TENDENCIA_ALCISTA,0,BREAKOUT_BULL,1,0.046526,0.036563,0.000744
2018.07.02 03:00,2018.07.02 04:00,110.843,TENDENCIA_ALCISTA,0,BREAKOUT_BULL,1,0.072061,0.098186,0.000408
2018.07.05 08:00,2018.07.05 09:00,110.666,TENDENCIA_ALCISTA,0,BREAKOUT_BULL,1,0.093897,0.163503,-0.000148
2018.07.11 04:00,2018.07.11 05:00,110.992,TENDENCIA_ALCISTA,0,BREAKOUT_BULL,1,0.095093,0.132302,-0.001115
2018.07.13 10:00,2018.07.13 11:00,112.785,TENDENCIA_ALCISTA,0,BREAKOUT_BULL,1,0.068147,0.114334,0.000836
2018.07.19 15:00,2018.07.19 16:00,113.084,TENDENCIA_ALCISTA,0,BREAKOUT_BULL,1,0.043875,0.04293,0.000874
2018.07.20 15:00,2018.07.20 16:00,111.767,TENDENCIA_BAJISTA,2,BREAKOUT_BEAR,-1,0.164012,0.293211,-0.000756
2018.07.24 02:00,2018.07.24 03:00,111.46,TENDENCIA_ALCISTA,0,BREAKOUT_BULL,1,0.057637,0.091508,0.001617
2018.07.25 21:00,2018.07.25 22:00,110.827,TENDENCIA_ALCISTA,0,BREAKOUT_BULL,1,0.063638,0.053999,-0.001527
2018.07.27 20:00,2018.07.27 21:00,110.966,TENDENCIA_ALCISTA,0,BREAKOUT_BULL,1,0.073173,0.090466,-0.000517
2018.07.31 06:00,2018.07.31 07:00,110.875,TENDENCIA_BAJISTA,2,BREAKOUT_BEAR,-1,0.051819,0.084366,-0.00012
2018.08.03 10:00,2018.08.03 11:00,111.851,TENDENCIA_ALCISTA,0,BREAKOUT_BULL,1,0.059186,0.094149,0.00077
2018.08.06 13:00,2018.08.06 14:00,111.459,TENDENCIA_ALCISTA,0,BREAKOUT_BULL,1,0.069354,0.12478,0.000494
2018.08.08 13:00,2018.08.08 14:00,111.042,TENDENCIA_ALCISTA,0,BREAKOUT_BULL,1,0.069001,0.102524,-0.001289
2018.08.10 04:00,2018.08.10 05:00,110.937,TENDENCIA_ALCISTA,0,BREAKOUT_BULL,1,0.059697,0.054289,8.7e-05
2018.08.14 09:00,2018.08.14 10:00,111.04,TENDENCIA_ALCISTA,0,BREAKOUT_BULL,1,0.071198,0.104867,0.000749
2018.08.16 16:00,2018.08.16 17:00,110.647,TENDENCIA_ALCISTA,0,BREAKOUT_BULL,1,0.069033,0.084976,0.000405
2018.08.17 16:00,2018.08.17 17:00,110.489,TENDENCIA_ALCISTA,0,BREAKOUT_BULL,1,0.052094,0.054657,-0.00181
2018.08.21 04:00,2018.08.21 05:00,109.958,TENDENCIA_ALCISTA,0,BREAKOUT_BULL,1,0.045879,0.054818,-0.002719
2018.08.22 13:00,2018.08.22 14:00,110.398,TENDENCIA_ALCISTA,0,BREAKOUT_BULL,1,0.063622,0.081344,0.000564
